No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
1,1999,CONSTRUCTION ,"1,000,000",BAD,"170,000",24,"1,002,146","890,994","5,282,403","12,469,078","6,284,549","13,360,072","3,657,791","10,845,221","4,258,349","11,349,742","1,000,000","1,000,000","1,026,200","1,010,330","2,026,200","2,010,330","16,290,037","33,637,927","191,684","46,330","108,884","-15,870"
2,1995,BUSINESS SERVICES ,"5,000,000",BAD,"62,106",59,n.a.,"5,606,719",n.a.,"19,568,153",n.a.,"25,174,872",n.a.,"16,718,742",n.a.,"17,320,843",n.a.,"5,000,000",n.a.,"2,854,029",n.a.,"7,854,029",n.a.,"25,400,125",n.a.,"-524,053",n.a.,"-666,085"
3,1994,LAND TRANSPORT ,"500,000",BAD,"520,000",36,"460,554","361,324","6,949,110","7,098,230","7,409,664","7,459,554","9,200,242","9,205,233","9,450,069","9,258,797","500,000","500,000","-2,540,405","-2,299,243","-2,040,405","-1,799,243","2,664,461","1,684,335",n.a.,n.a.,"121,906","241,162"
4,2004,BUSINESS SERVICES ,"1,000,000",BAD,"16,501",59,n.a.,"124,563",n.a.,"1,359,961",n.a.,"1,484,524",n.a.,"1,708,657",n.a.,"1,708,657",n.a.,"50,000",n.a.,"-274,133",n.a.,"-224,133",n.a.,"3,376,770",n.a.,"-425,503",n.a.,"-430,909"
5,1996,LAND TRANSPORT ,"50,000,000",BAD,"26,502",60,"63,663,621","79,184,849","220,186,689","128,316,914","283,850,310","207,501,763","149,109,763","53,523,141","163,804,268","71,527,776","50,000,000","50,000,000","68,412,150","84,340,095","120,046,042","134,340,095","300,974,998","246,855,376","30,229,777","29,173,889","22,780,799","22,450,220"
6,2003,BUSINESS SERVICES ,"1,000,000",BAD,"49,164",59,"729,155","494,413","1,695,126","1,493,172","2,424,281","1,987,585","900,097","610,340","1,367,039","972,378","500,000","500,000","557,242","515,207","1,057,242","1,015,207","3,202,954","1,897,709","-57,807","-45,444","-65,010","-42,035"
7,1991,BUSINESS SERVICES ,"46,876,000",BAD,"7,817",59,"101,555,995","107,334,906","76,670,126","53,192,538","178,226,121","160,527,444","115,077,658","85,867,992","119,966,752","111,436,173","46,876,000","46,876,000","-4,583,019","-13,751,117","58,259,369","49,091,271","52,100,864","44,621,142","-72,455","-13,395,555","-408,455","-9,168,098"
8,1997,CONSTRUCTION ,"100,002",BAD,"144,000",24,"378,737",n.a.,"6,079,440",n.a.,"6,458,177",n.a.,"5,744,903",n.a.,"5,790,625",n.a.,"100,002",n.a.,"567,550",n.a.,"667,552",n.a.,"6,604,924",n.a.,"32,463",n.a.,"13,687",n.a.
9,1996,CONSTRUCTION ,"3,000,000",BAD,"59,888",59,"12,847,054",n.a.,"84,110,351",n.a.,"96,957,405",n.a.,"95,758,814",n.a.,"95,798,730",n.a.,"3,000,000",n.a.,"-1,798,910",n.a.,"1,201,090",n.a.,"22,578,792",n.a.,"-97,947",n.a.,"-140,094",n.a.
10,2007,LAND TRANSPORT ,"600,000",BAD,"400,000",60,"2,132,348","1,932,187","374,657","321,425","2,507,005","2,253,612","2,285,995","1,788,720","2,655,866","2,632,796","200,000","200,000","-348,861","-579,184","-148,861","-379,184","1,004,707","885,738","-315,957","-230,323","-316,417","-230,323"
11,2002,BUSINESS SERVICES ,"10,000,003",BAD,"28,568",60,"14,300,370",n.a.,"239,276",n.a.,"14,539,646",n.a.,"2,695,877",n.a.,"7,418,618",n.a.,"10,000,003",n.a.,"-2,878,975",n.a.,"7,121,028",n.a.,"157,500",n.a.,"-967,997",n.a.,"-967,997",n.a.
